Central Park,46.9705,-123.7018,,0,0
Bremerton,47.5436,-122.7122,216480,0,216480
Friday Harbor,48.5324,-123.0656,2407,0,2407
Carnation,47.6446,-121.9048,2164,0,2164
Lake Shore,45.6911,-122.6911,,0,0
Houghton,47.6609,-122.206,,0,0
Lester,47.2093,-121.494,,0,0
Lake Stevens,48.0029,-122.096,32785,0,32785
Mineral,46.7193,-122.1859,,0,0
Lake Stickney,47.8709,-122.2596,,0,0
Acme,48.7146,-122.2293,,0,0
Oyehut,47.0232,-124.1631,,0,0
Mossyrock,46.5305,-122.4887,789,0,789
Bridgeport,48.0063,-119.6737,2555,0,2555
Fobes Hill,47.9391,-122.1341,,0,0
Rosario,48.6487,-122.876,,0,0
Brewster,48.1034,-119.7751,2343,0,2343
Fox Island,47.2475,-122.6255,,0,0
Canyon Park,47.7909,-122.1926,,0,0
Rock Island,47.3743,-120.1382,1015,0,1015
High Rock,47.8129,-121.9826,,0,0
Rockford,47.4513,-117.1307,477,0,477
Erlands Point,47.5998,-122.6929,,0,0
Montesano,47.0102,-123.5858,8494,0,8494
Gorst,47.5237,-122.7057,,0,0
Johnson,46.6316,-117.1379,,0,0
Alderton,47.1718,-122.2192,,0,0
Dusty,46.8102,-117.6519,,0,0
Tekoa,47.2247,-117.0731,809,0,809
Bay Center,46.6211,-123.9533,,0,0
La Center,45.8586,-122.6767,3171,0,3171
Mazama,48.5921,-120.404,,0,0
Selleck,47.3757,-121.8684,,0,0
Amanda Park,47.4532,-123.9194,,0,0
Doris,46.8676,-120.0098,,0,0
Sunnydale,47.4632,-122.3337,,0,0
Van Zandt,48.789,-122.1918,,0,0
McDonald,47.0713,-119.2156,,0,0
Moclips,47.2348,-124.2025,,0,0
Ocean Park,46.4961,-124.0443,,0,0
West Valley,46.5921,-120.6051,,0,0
Thompson Place,47.0554,-122.7835,,0,0
Dungeness,48.1468,-123.1232,,0,0
Birch Bay,48.923,-122.7543,,0,0
Stratford,47.4268,-119.2816,,0,0
Ione,48.7402,-117.4223,459,0,459
Tacoma,47.2431,-122.4531,213418,0,213418
Barberton,45.7136,-122.6114,,0,0
Yacolt,45.865,-122.4059,1735,0,1735
Coulee Dam,47.9688,-118.9761,1079,0,1079
Almota,46.7029,-117.4694,,0,0
Skamokawa,46.2704,-123.4571,,0,0
Woodinville,47.7569,-122.1478,11997,0,11997
Swinomish Village,48.4082,-122.5113,,0,0
Methow,48.1289,-120.0056,,0,0
Bay View,48.487,-122.4628,,0,0
Newaukum,47.2573,-122.1018,,0,0
Kalaloch,47.6045,-124.3724,,0,0
Meadow Glade,45.7524,-122.5614,,0,0
Disautel,48.345,-119.2299,,0,0
Copalis Crossing,47.1079,-124.0693,,0,0
